Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
130,2018/08/25,boxscore (https://www.baseball-reference.com/boxes/DET/DET201808250.shtml),DET,,CHW (https://www.baseball-reference.com/teams/CHW/2018.shtml),L,1,6,,53-77,3,20.5,Giolito (https://www.baseball-reference.com/players/g/giolilu01.shtml),Carpenter (https://www.baseball-reference.com/players/c/carpery01.shtml),,2:41,N,"26,183",0,--,
131,2018/08/26,boxscore (https://www.baseball-reference.com/boxes/DET/DET201808260.shtml),DET,,CHW (https://www.baseball-reference.com/teams/CHW/2018.shtml),L,2,7,,53-78,3,21.5,Kopech (https://www.baseball-reference.com/players/k/kopecmi01.shtml),Zimmermann (https://www.baseball-reference.com/players/z/zimmejo02.shtml),Fry (https://www.baseball-reference.com/players/f/fryja01.shtml),3:03,D,"34,036",0,---,
132,2018/08/28,boxscore (https://www.baseball-reference.com/boxes/KCA/KCA201808280.shtml),DET,@,KCR (https://www.baseball-reference.com/teams/KCR/2018.shtml),L,2,6,,53-79,3,22.5,Junis (https://www.baseball-reference.com/players/j/junisja01.shtml),Boyd (https://www.baseball-reference.com/players/b/boydma01.shtml),,2:24,N,"16,888",0,----,
133,2018/08/29,boxscore (https://www.baseball-reference.com/boxes/KCA/KCA201808290.shtml),DET,@,KCR (https://www.baseball-reference.com/teams/KCR/2018.shtml),L,2,9,,53-80,3,22.5,Duffy (https://www.baseball-reference.com/players/d/duffyda01.shtml),Fulmer (https://www.baseball-reference.com/players/f/fulmemi01.shtml),,2:38,D,"17,091",0,-----,
134,2018/08/30,boxscore (https://www.baseball-reference.com/boxes/NYA/NYA201808300.shtml),DET,@,NYY (https://www.baseball-reference.com/teams/NYY/2018.shtml),W,8,7,,54-80,3,22.5,Wilson (https://www.baseball-reference.com/players/w/wilsoal01.shtml),Betances (https://www.baseball-reference.com/players/b/betande01.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),3:32,N,"37,195",0,+,
135,2018/08/31,boxscore (https://www.baseball-reference.com/boxes/NYA/NYA201808310.shtml),DET,@,NYY (https://www.baseball-reference.com/teams/NYY/2018.shtml),L,5,7,,54-81,3,23.5,Britton (https://www.baseball-reference.com/players/b/brittza01.shtml),Jiménez (https://www.baseball-reference.com/players/j/jimenjo02.shtml),Robertson (https://www.baseball-reference.com/players/r/roberda08.shtml),3:10,N,"41,026",0,-,
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
136,2018/09/01,boxscore (https://www.baseball-reference.com/boxes/NYA/NYA201809010.shtml),DET,@,NYY (https://www.baseball-reference.com/teams/NYY/2018.shtml),L,1,2,,54-82,3,23.5,Tanaka (https://www.baseball-reference.com/players/t/tanakma01.shtml),Norris (https://www.baseball-reference.com/players/n/norrida01.shtml),Betances (https://www.baseball-reference.com/players/b/betande01.shtml),3:00,D,"42,816",0,--,
137,2018/09/02,boxscore (https://www.baseball-reference.com/boxes/NYA/NYA201809020.shtml),DET,@,NYY (https://www.baseball-reference.com/teams/NYY/2018.shtml),W,11,7,,55-82,3,22.5,Boyd (https://www.baseball-reference.com/players/b/boydma01.shtml),Lynn (https://www.baseball-reference.com/players/l/lynnla01.shtml),,3:41,D,"43,721",0,+,
138,2018/09/03,boxscore (https://www.baseball-reference.com/boxes/CHA/CHA201809030.shtml),DET,@,CHW (https://www.baseball-reference.com/teams/CHW/2018.shtml),L-wo,2,4,,55-83,4,22.5,Fry (https://www.baseball-reference.com/players/f/fryja01.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),,2:48,D,"15,540",0,-,
139,2018/09/04,boxscore (https://www.baseball-reference.com/boxes/CHA/CHA201809040.shtml),DET,@,CHW (https://www.baseball-reference.com/teams/CHW/2018.shtml),W,8,3,,56-83,3,22.5,Liriano (https://www.baseball-reference.com/players/l/liriafr01.shtml),Giolito (https://www.baseball-reference.com/players/g/giolilu01.shtml),,3:26,N,"13,012",0,+,
140,2018/09/05,boxscore (https://www.baseball-reference.com/boxes/CHA/CHA201809050.shtml),DET,@,CHW (https://www.baseball-reference.com/teams/CHW/2018.shtml),W,10,2,,57-83,3,22.5,Zimmermann (https://www.baseball-reference.com/players/z/zimmejo02.shtml),Kopech (https://www.baseball-reference.com/players/k/kopecmi01.shtml),,3:17,N,"16,036",0,++,
141,2018/09/07,boxscore (https://www.baseball-reference.com/boxes/DET/DET201809070.shtml),DET,,STL (https://www.baseball-reference.com/teams/STL/2018.shtml),W-wo,5,3,,58-83,3,22,Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),Hicks (https://www.baseball-reference.com/players/h/hicksjo03.shtml),,2:51,N,"21,268",0,+++,
142,2018/09/08,boxscore (https://www.baseball-reference.com/boxes/DET/DET201809080.shtml),DET,,STL (https://www.baseball-reference.com/teams/STL/2018.shtml),W-wo,4,3,,59-83,3,22,Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),Norris (https://www.baseball-reference.com/players/n/norribu01.shtml),,2:56,N,"30,268",0,++++,
143,2018/09/09,boxscore (https://www.baseball-reference.com/boxes/DET/DET201809090.shtml),DET,,STL (https://www.baseball-reference.com/teams/STL/2018.shtml),L,2,5,,59-84,3,22,Gant (https://www.baseball-reference.com/players/g/gantjo01.shtml),Fulmer (https://www.baseball-reference.com/players/f/fulmemi01.shtml),Martínez (https://www.baseball-reference.com/players/m/martica04.shtml),2:41,D,"22,212",0,-,
144,2018/09/10,boxscore (https://www.baseball-reference.com/boxes/DET/DET201809100.shtml),DET,,HOU (https://www.baseball-reference.com/teams/HOU/2018.shtml),L,2,3,,59-85,3,22,Verlander (https://www.baseball-reference.com/players/v/verlaju01.shtml),Liriano (https://www.baseball-reference.com/players/l/liriafr01.shtml),Osuna (https://www.baseball-reference.com/players/o/osunaro01.shtml),2:42,N,"19,711",0,--,
145,2018/09/11,boxscore (https://www.baseball-reference.com/boxes/DET/DET201809110.shtml),DET,,HOU (https://www.baseball-reference.com/teams/HOU/2018.shtml),L,4,5,,59-86,3,23,Harris (https://www.baseball-reference.com/players/h/harriwi10.shtml),Zimmermann (https://www.baseball-reference.com/players/z/zimmejo02.shtml),Osuna (https://www.baseball-reference.com/players/o/osunaro01.shtml),3:29,N,"19,432",0,---,
146,2018/09/12,boxscore (https://www.baseball-reference.com/boxes/DET/DET201809120.shtml),DET,,HOU (https://www.baseball-reference.com/teams/HOU/2018.shtml),L,4,5,,59-87,3,23,Cole (https://www.baseball-reference.com/players/c/colege01.shtml),Norris (https://www.baseball-reference.com/players/n/norrida01.shtml),Pressly (https://www.baseball-reference.com/players/p/pressry01.shtml),3:09,D,"22,666",0,----,
147,2018/09/14,boxscore (https://www.baseball-reference.com/boxes/CLE/CLE201809140.shtml),DET,@,CLE (https://www.baseball-reference.com/teams/CLE/2018.shtml),W,5,4,,60-87,3,22,VerHagen (https://www.baseball-reference.com/players/v/verhadr01.shtml),Cimber (https://www.baseball-reference.com/players/c/cimbead01.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),3:06,N,"26,952",0,+,
148,2018/09/15,boxscore (https://www.baseball-reference.com/boxes/CLE/CLE201809150.shtml),DET,@,CLE (https://www.baseball-reference.com/teams/CLE/2018.shtml),L,0,15,,60-88,3,23,Clevinger (https://www.baseball-reference.com/players/c/clevimi01.shtml),Fulmer (https://www.baseball-reference.com/players/f/fulmemi01.shtml),,3:21,D,"26,532",0,-,
149,2018/09/16,boxscore (https://www.baseball-reference.com/boxes/CLE/CLE201809160.shtml),DET,@,CLE (https://www.baseball-reference.com/teams/CLE/2018.shtml),W,6,4,,61-88,3,22,Liriano (https://www.baseball-reference.com/players/l/liriafr01.shtml),Bieber (https://www.baseball-reference.com/players/b/biebesh01.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),2:33,D,"24,862",0,+,
150,2018/09/17,boxscore (https://www.baseball-reference.com/boxes/DET/DET201809170.shtml),DET,,MIN (https://www.baseball-reference.com/teams/MIN/2018.shtml),L,1,6,,61-89,3,22.5,Stewart (https://www.baseball-reference.com/players/s/stewako01.shtml),Zimmermann (https://www.baseball-reference.com/players/z/zimmejo02.shtml),,2:54,N,"19,004",0,-,
151,2018/09/18,boxscore (https://www.baseball-reference.com/boxes/DET/DET201809180.shtml),DET,,MIN (https://www.baseball-reference.com/teams/MIN/2018.shtml),L,3,5,,61-90,3,23.5,Odorizzi (https://www.baseball-reference.com/players/o/odorija01.shtml),Norris (https://www.baseball-reference.com/players/n/norrida01.shtml),Hildenberger (https://www.baseball-reference.com/players/h/hildetr01.shtml),3:02,N,"19,740",0,--,
152,2018/09/19,boxscore (https://www.baseball-reference.com/boxes/DET/DET201809190.shtml),DET,,MIN (https://www.baseball-reference.com/teams/MIN/2018.shtml),L,2,8,,61-91,3,24.5,Gonsalves (https://www.baseball-reference.com/players/g/gonsast01.shtml),Turnbull (https://www.baseball-reference.com/players/t/turnbsp01.shtml),,2:47,D,"19,296",0,---,
153,2018/09/20,boxscore (https://www.baseball-reference.com/boxes/DET/DET201809200.shtml),DET,,KCR (https://www.baseball-reference.com/teams/KCR/2018.shtml),W,11,8,,62-91,3,23.5,Reininger (https://www.baseball-reference.com/players/r/reiniza01.shtml),López (https://www.baseball-reference.com/players/l/lopezjo02.shtml),,3:12,N,"20,282",0,+,
154,2018/09/21,boxscore (https://www.baseball-reference.com/boxes/DET/DET201809210.shtml),DET,,KCR (https://www.baseball-reference.com/teams/KCR/2018.shtml),L,3,4,,62-92,3,23.5,Kennedy (https://www.baseball-reference.com/players/k/kenneia01.shtml),Liriano (https://www.baseball-reference.com/players/l/liriafr01.shtml),Peralta (https://www.baseball-reference.com/players/p/peralwi01.shtml),2:51,N,"22,001",0,-,
155,2018/09/22,boxscore (https://www.baseball-reference.com/boxes/DET/DET201809220.shtml),DET,,KCR (https://www.baseball-reference.com/teams/KCR/2018.shtml),W,5,4,,63-92,3,23.5,Jiménez (https://www.baseball-reference.com/players/j/jimenjo02.shtml),Hammel (https://www.baseball-reference.com/players/h/hammeja01.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),2:42,N,"24,815",0,+,
156,2018/09/23,boxscore (https://www.baseball-reference.com/boxes/DET/DET201809230.shtml),DET,,KCR (https://www.baseball-reference.com/teams/KCR/2018.shtml),L,2,3,,63-93,3,24.5,Keller (https://www.baseball-reference.com/players/k/kellebr01.shtml),VerHagen (https://www.baseball-reference.com/players/v/verhadr01.shtml),Peralta (https://www.baseball-reference.com/players/p/peralwi01.shtml),2:47,D,"24,230",0,-,
157,2018/09/25,boxscore (https://www.baseball-reference.com/boxes/MIN/MIN201809250.shtml),DET,@,MIN (https://www.baseball-reference.com/teams/MIN/2018.shtml),W,4,2,,64-93,3,24,Alcántara (https://www.baseball-reference.com/players/a/alcanvi01.shtml),Hildenberger (https://www.baseball-reference.com/players/h/hildetr01.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),3:12,N,"23,849",0,+,
158,2018/09/26,boxscore (https://www.baseball-reference.com/boxes/MIN/MIN201809260.shtml),DET,@,MIN (https://www.baseball-reference.com/teams/MIN/2018.shtml),L,4,11,,64-94,3,25,Duffey (https://www.baseball-reference.com/players/d/duffety01.shtml),Boyd (https://www.baseball-reference.com/players/b/boydma01.shtml),,3:36,N,"21,316",0,-,
159,2018/09/27,boxscore (https://www.baseball-reference.com/boxes/MIN/MIN201809270.shtml),DET,@,MIN (https://www.baseball-reference.com/teams/MIN/2018.shtml),L,3,9,,64-95,3,25,Gonsalves (https://www.baseball-reference.com/players/g/gonsast01.shtml),Liriano (https://www.baseball-reference.com/players/l/liriafr01.shtml),,3:20,N,"22,342",0,--,
160,2018/09/28,boxscore (https://www.baseball-reference.com/boxes/MIL/MIL201809280.shtml),DET,@,MIL (https://www.baseball-reference.com/teams/MIL/2018.shtml),L,5,6,,64-96,3,26,Soria (https://www.baseball-reference.com/players/s/soriajo01.shtml),Alcántara (https://www.baseball-reference.com/players/a/alcanvi01.shtml),Jeffress (https://www.baseball-reference.com/players/j/jeffrje01.shtml),3:07,N,"44,770",0,---,
161,2018/09/29,boxscore (https://www.baseball-reference.com/boxes/MIL/MIL201809290.shtml),DET,@,MIL (https://www.baseball-reference.com/teams/MIL/2018.shtml),L,5,6,,64-97,3,26,Soria (https://www.baseball-reference.com/players/s/soriajo01.shtml),Stumpf (https://www.baseball-reference.com/players/s/stumpda01.shtml),Jeffress (https://www.baseball-reference.com/players/j/jeffrje01.shtml),3:24,N,"45,520",0,----,
162,2018/09/30,boxscore (https://www.baseball-reference.com/boxes/MIL/MIL201809300.shtml),DET,@,MIL (https://www.baseball-reference.com/teams/MIL/2018.shtml),L,0,11,,64-98,3,27,Gonzalez (https://www.baseball-reference.com/players/g/gonzagi01.shtml),Turnbull (https://www.baseball-reference.com/players/t/turnbsp01.shtml),,3:15,D,"41,848",0,-----,
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,2018/03/29,boxscore (https://www.baseball-reference.com/boxes/TEX/TEX201803290.shtml),HOU,@,TEX (https://www.baseball-reference.com/teams/TEX/2018.shtml),W,4,1,,1-0,1,Tied,Verlander (https://www.baseball-reference.com/players/v/verlaju01.shtml),Hamels (https://www.baseball-reference.com/players/h/hamelco01.shtml),,2:59,D,"47,253",1.1,+,
2,2018/03/30,boxscore (https://www.baseball-reference.com/boxes/TEX/TEX201803300.shtml),HOU,@,TEX (https://www.baseball-reference.com/teams/TEX/2018.shtml),L,1,5,,1-1,2,0.5,Fister (https://www.baseball-reference.com/players/f/fistedo01.shtml),Keuchel (https://www.baseball-reference.com/players/k/keuchda01.shtml),,3:02,N,"35,469",1.09,-,
3,2018/03/31,boxscore (https://www.baseball-reference.com/boxes/TEX/TEX201803310.shtml),HOU,@,TEX (https://www.baseball-reference.com/teams/TEX/2018.shtml),W,9,3,,2-1,1,Tied,McCullers (https://www.baseball-reference.com/players/m/mcculla02.shtml),Moore (https://www.baseball-reference.com/players/m/moorema02.shtml),,3:19,D,"36,892",1.07,+,
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
4,2018/04/01,boxscore (https://www.baseball-reference.com/boxes/TEX/TEX201804010.shtml),HOU,@,TEX (https://www.baseball-reference.com/teams/TEX/2018.shtml),W,8,2,,3-1,1,Tied,Cole (https://www.baseball-reference.com/players/c/colege01.shtml),Minor (https://www.baseball-reference.com/players/m/minormi01.shtml),,3:13,D,"26,758",1.14,++,
5,2018/04/02,boxscore (https://www.baseball-reference.com/boxes/HOU/HOU201804020.shtml),HOU,,BAL (https://www.baseball-reference.com/teams/BAL/2018.shtml),W,6,1,,4-1,1,up 1.0,Morton (https://www.baseball-reference.com/players/m/mortoch02.shtml),Tillman (https://www.baseball-reference.com/players/t/tillmch01.shtml),,2:52,N,"42,675",1.07,+++,
6,2018/04/03,boxscore (https://www.baseball-reference.com/boxes/HOU/HOU201804030.shtml),HOU,,BAL (https://www.baseball-reference.com/teams/BAL/2018.shtml),W,10,6,,5-1,1,up 1.0,Rondón (https://www.baseball-reference.com/players/r/rondohe01.shtml),Araújo (https://www.baseball-reference.com/players/a/araujpe01.shtml),,3:19,N,"40,081",1.08,++++,
7,2018/04/04,boxscore (https://www.baseball-reference.com/boxes/HOU/HOU201804040.shtml),HOU,,BAL (https://www.baseball-reference.com/teams/BAL/2018.shtml),W,3,2,,6-1,1,up 1.0,Peacock (https://www.baseball-reference.com/players/p/peacobr01.shtml),Castro (https://www.baseball-reference.com/players/c/castrmi01.shtml),,2:42,D,"27,698",1.11,+++++,
8,2018/04/06,boxscore (https://www.baseball-reference.com/boxes/HOU/HOU201804060.shtml),HOU,,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),L,1,4,,6-2,1,Tied,Perdomo (https://www.baseball-reference.com/players/p/perdolu02.shtml),McCullers (https://www.baseball-reference.com/players/m/mcculla02.shtml),Hand (https://www.baseball-reference.com/players/h/handbr01.shtml),3:11,N,"41,138",1.1,-,
9,2018/04/07,boxscore (https://www.baseball-reference.com/boxes/HOU/HOU201804070.shtml),HOU,,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),W-wo,1,0,10,7-2,1,up 1.0,Devenski (https://www.baseball-reference.com/players/d/devench02.shtml),Erlin (https://www.baseball-reference.com/players/e/erlinro01.shtml),,3:27,N,"42,306",1.08,+,
10,2018/04/08,boxscore (https://www.baseball-reference.com/boxes/HOU/HOU201804080.shtml),HOU,,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),W,4,1,,8-2,1,up 1.0,Morton (https://www.baseball-reference.com/players/m/mortoch02.shtml),Ross (https://www.baseball-reference.com/players/r/rossty01.shtml),Peacock (https://www.baseball-reference.com/players/p/peacobr01.shtml),2:25,D,"37,093",1.1,++,
11,2018/04/09,boxscore (https://www.baseball-reference.com/boxes/MIN/MIN201804090.shtml),HOU,@,MIN (https://www.baseball-reference.com/teams/MIN/2018.shtml),W,2,0,,9-2,1,up 1.0,Verlander (https://www.baseball-reference.com/players/v/verlaju01.shtml),Rogers (https://www.baseball-reference.com/players/r/rogerta01.shtml),Giles (https://www.baseball-reference.com/players/g/gileske01.shtml),3:28,N,"15,521",1.17,+++,
12,2018/04/10,boxscore (https://www.baseball-reference.com/boxes/MIN/MIN201804100.shtml),HOU,@,MIN (https://www.baseball-reference.com/teams/MIN/2018.shtml),L,1,4,,9-3,1,Tied,Odorizzi (https://www.baseball-reference.com/players/o/odorija01.shtml),Keuchel (https://www.baseball-reference.com/players/k/keuchda01.shtml),Rodney (https://www.baseball-reference.com/players/r/rodnefe01.shtml),3:21,N,"15,500",1.15,-,
13,2018/04/11,boxscore (https://www.baseball-reference.com/boxes/MIN/MIN201804110.shtml),HOU,@,MIN (https://www.baseball-reference.com/teams/MIN/2018.shtml),L-wo,8,9,,9-4,2,1,Rodney (https://www.baseball-reference.com/players/r/rodnefe01.shtml),Peacock (https://www.baseball-reference.com/players/p/peacobr01.shtml),,3:35,D,"15,438",1.14,--,
14,2018/04/13,boxscore (https://www.baseball-reference.com/boxes/HOU/HOU201804130.shtml),HOU,,TEX (https://www.baseball-reference.com/teams/TEX/2018.shtml),W,3,2,,10-4,2,1.5,Smith (https://www.baseball-reference.com/players/s/smithjo05.shtml),Jepsen (https://www.baseball-reference.com/players/j/jepseke01.shtml),Devenski (https://www.baseball-reference.com/players/d/devench02.shtml),2:50,N,"32,129",1.17,+,
15,2018/04/14,boxscore (https://www.baseball-reference.com/boxes/HOU/HOU201804140.shtml),HOU,,TEX (https://www.baseball-reference.com/teams/TEX/2018.shtml),L,5,6,10,10-5,2,2.5,Kela (https://www.baseball-reference.com/players/k/kelake01.shtml),Harris (https://www.baseball-reference.com/players/h/harriwi10.shtml),Claudio (https://www.baseball-reference.com/players/c/claudal01.shtml),3:26,D,"40,679",1.18,-,
16,2018/04/15,boxscore (https://www.baseball-reference.com/boxes/HOU/HOU201804150.shtml),HOU,,TEX (https://www.baseball-reference.com/teams/TEX/2018.shtml),L,1,3,10,10-6,2,3,Kela (https://www.baseball-reference.com/players/k/kelake01.shtml),Rondón (https://www.baseball-reference.com/players/r/rondohe01.shtml),Diekman (https://www.baseball-reference.com/players/d/diekmja01.shtml),3:06,N,"31,803",1.14,--,
